module,top_tissue,n_enriched,best_term,best_source,best_p,top5_terms
M1,BLOOD_VESSEL,336,Molecules associated with elastic fibres,REAC,0.0,"Molecules associated with elastic fibres (REAC,p=0e+00); Integrin signaling (KEGG,p=0e+00); signaling (GO:BP,p=0e+00); positive regulation of locomotion (GO:BP,p=0e+00); cell junction organization (GO:BP,p=0e+00)"
M2,OVARY,70,transcription by RNA polymerase II,GO:BP,0.0,"transcription by RNA polymerase II (GO:BP,p=0e+00); RNA processing (GO:BP,p=0e+00); regulation of biosynthetic process (GO:BP,p=0e+00); regulation of macromolecule metabolic process (GO:BP,p=0e+00); regulation of transcription by RNA polymerase II (GO:BP,p=0e+00)"
M3,PITUITARY,25,nucleic acid metabolic process,GO:BP,0.0,"nucleic acid metabolic process (GO:BP,p=0e+00); RNA Polymerase II Transcription (REAC,p=2e-10); Gene expression (Transcription) (REAC,p=1e-09); nucleic acid biosynthetic process (GO:BP,p=2e-09); RNA biosynthetic process (GO:BP,p=1e-08)"
M4,TESTIS,51,organelle assembly,GO:BP,0.0,"organelle assembly (GO:BP,p=0e+00); sperm flagellum assembly (GO:BP,p=0e+00); cilium movement (GO:BP,p=2e-72); cilium-dependent cell motility (GO:BP,p=4e-58); cilium or flagellum-dependent cell motility (GO:BP,p=4e-58)"
M5,OVARY,70,Developmental Biology,REAC,0.0,"Developmental Biology (REAC,p=0e+00); Disease (REAC,p=0e+00); rRNA metabolic process (GO:BP,p=0e+00); SARS-CoV Infections (REAC,p=0e+00); rRNA processing (GO:BP,p=0e+00)"
M6,SALIVARY_GLAND,20,Cornified envelope formation,KEGG,4.4360000000000003e-07,"Cornified envelope formation (KEGG,p=4e-07); cell-cell junction organization (GO:BP,p=5e-06); Tight junction interactions (REAC,p=5e-05); tight junction assembly (GO:BP,p=9e-05); epithelial cell differentiation (GO:BP,p=2e-04)"
M7,TESTIS,191,DNA repair,GO:BP,0.0,"DNA repair (GO:BP,p=0e+00); Nucleocytoplasmic transport (KEGG,p=0e+00); macromolecule metabolic process (GO:BP,p=0e+00); M Phase (REAC,p=0e+00); Metabolism of RNA (REAC,p=0e+00)"
M8,TESTIS,339,Resolution of D-loop Structures through Holliday Junction Intermediates,REAC,0.0,"Resolution of D-loop Structures through Holliday Junction Intermediates (REAC,p=0e+00); Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function (REAC,p=0e+00); Defective homologous recombination repair (HRR) due to BRCA1 loss of function (REAC,p=0e+00); Defective homologous recombination repair (HRR) due to PALB2 loss of function (REAC,p=0e+00); Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding function (REAC,p=0e+00)"
M9,BRAIN,96,modulation of chemical synaptic transmission,GO:BP,0.0,"modulation of chemical synaptic transmission (GO:BP,p=0e+00); regulation of trans-synaptic signaling (GO:BP,p=0e+00); neurotransmitter transport (GO:BP,p=0e+00); synaptic vesicle cycle (GO:BP,p=0e+00); synaptic signaling (GO:BP,p=9e-22)"
M10,SPLEEN,336,leukocyte migration,GO:BP,0.0,"leukocyte migration (GO:BP,p=0e+00); regulation of cell adhesion (GO:BP,p=0e+00); innate immune response-activating signaling pathway (GO:BP,p=0e+00); regulation of leukocyte differentiation (GO:BP,p=0e+00); regulation of biological process (GO:BP,p=0e+00)"
M11,ADIPOSE_TISSUE,78,endothelium development,GO:BP,0.0,"endothelium development (GO:BP,p=0e+00); anatomical structure formation involved in morphogenesis (GO:BP,p=0e+00); tube development (GO:BP,p=0e+00); circulatory system development (GO:BP,p=0e+00); tube morphogenesis (GO:BP,p=0e+00)"
M12,MUSCLE,35,muscle structure development,GO:BP,2e-10,"muscle structure development (GO:BP,p=2e-10); muscle system process (GO:BP,p=9e-09); muscle organ development (GO:BP,p=1e-08); Hypertrophic cardiomyopathy (KEGG,p=2e-06); muscle contraction (GO:BP,p=3e-06)"
M13,LIVER,147,carboxylic acid catabolic process,GO:BP,0.0,"carboxylic acid catabolic process (GO:BP,p=0e+00); organic acid catabolic process (GO:BP,p=0e+00); One carbon pool by folate (KEGG,p=0e+00); Metabolism of amino acids and derivatives (REAC,p=0e+00); carboxylic acid biosynthetic process (GO:BP,p=0e+00)"
M14,SPLEEN,53,response to stimulus,GO:BP,0.0,"response to stimulus (GO:BP,p=0e+00); Classical antibody-mediated complement activation (REAC,p=6e-91); adaptive immune response (GO:BP,p=1e-86); Creation of C4 and C2 activators (REAC,p=2e-86); CD22 mediated BCR regulation (REAC,p=6e-86)"
M15,BLOOD,157,Cytokine Signaling in Immune system,REAC,0.0,"Cytokine Signaling in Immune system (REAC,p=0e+00); ER-Phagosome pathway (REAC,p=0e+00); antigen processing and presentation of endogenous peptide antigen via MHC class I (GO:BP,p=0e+00); Immune System (REAC,p=3e-21); Innate Immune System (REAC,p=8e-18)"
M16,PITUITARY,72,IRE1alpha activates chaperones,REAC,0.0,"IRE1alpha activates chaperones (REAC,p=0e+00); XBP1(S) activates chaperone genes (REAC,p=0e+00); protein folding (GO:BP,p=0e+00); Protein processing in endoplasmic reticulum (KEGG,p=2e-41); Asparagine N-linked glycosylation (REAC,p=6e-20)"
M17,MUSCLE,165,lipid modification,GO:BP,0.0,"lipid modification (GO:BP,p=0e+00); organophosphate metabolic process (GO:BP,p=0e+00); ATP biosynthetic process (GO:BP,p=0e+00); proton motive force-driven mitochondrial ATP synthesis (GO:BP,p=0e+00); Mitochondrial Fatty Acid Beta-Oxidation (REAC,p=0e+00)"
M18,MUSCLE,80,actin filament-based process,GO:BP,0.0,"actin filament-based process (GO:BP,p=0e+00); musculoskeletal movement (GO:BP,p=0e+00); skeletal muscle contraction (GO:BP,p=0e+00); supramolecular fiber organization (GO:BP,p=0e+00); multicellular organismal movement (GO:BP,p=0e+00)"
M19,BRAIN,42,IgSF CAM signaling,KEGG,7.000000000000001e-10,"IgSF CAM signaling (KEGG,p=7e-10); nervous system development (GO:BP,p=9e-09); anterograde trans-synaptic signaling (GO:BP,p=1e-08); chemical synaptic transmission (GO:BP,p=1e-08); trans-synaptic signaling (GO:BP,p=1e-08)"
M21,LIVER,43,Metabolism of xenobiotics by cytochrome P450,KEGG,0.0,"Metabolism of xenobiotics by cytochrome P450 (KEGG,p=0e+00); Drug metabolism - cytochrome P450 (KEGG,p=0e+00); Metabolism (REAC,p=0e+00); Chemical carcinogenesis - DNA adducts (KEGG,p=0e+00); Drug metabolism - other enzymes (KEGG,p=0e+00)"
M22,VAGINA,23,keratinocyte differentiation,GO:BP,0.0,"keratinocyte differentiation (GO:BP,p=0e+00); skin development (GO:BP,p=0e+00); epidermal cell differentiation (GO:BP,p=0e+00); keratinization (GO:BP,p=0e+00); Formation of the cornified envelope (REAC,p=8e-23)"
M23,PANCREAS,18,Digestion,REAC,0.0,"Digestion (REAC,p=0e+00); Pancreatic secretion (KEGG,p=6e-35); Protein digestion and absorption (KEGG,p=6e-18); Digestion and absorption (REAC,p=2e-10); digestion (GO:BP,p=3e-08)"
M24,UTERUS,59,animal organ morphogenesis,GO:BP,0.0,"animal organ morphogenesis (GO:BP,p=0e+00); Activation of anterior HOX genes in hindbrain development during early embryogenesis (REAC,p=0e+00); Activation of HOX genes during differentiation (REAC,p=0e+00); transcription by RNA polymerase II (GO:BP,p=0e+00); regulation of transcription by RNA polymerase II (GO:BP,p=0e+00)"
M25,ADIPOSE_TISSUE,66,PPAR signaling pathway,KEGG,1e-10,"PPAR signaling pathway (KEGG,p=1e-10); Adipogenesis (REAC,p=3e-10); Transcriptional regulation of white adipocyte differentiation (REAC,p=1e-09); Metabolism (REAC,p=9e-09); Regulation of lipolysis in adipocytes (KEGG,p=3e-08)"
M26,BRAIN,61,Respiratory electron transport,REAC,0.0,"Respiratory electron transport (REAC,p=0e+00); proton motive force-driven mitochondrial ATP synthesis (GO:BP,p=0e+00); proton motive force-driven ATP synthesis (GO:BP,p=0e+00); respiratory electron transport chain (GO:BP,p=0e+00); Aerobic respiration and respiratory electron transport (REAC,p=0e+00)"
M27,LUNG,3,Neutrophil degranulation,REAC,0.00027748190000000003,"Neutrophil degranulation (REAC,p=3e-04); Lysosome biogenesis (KEGG,p=8e-04); trans-Golgi Network Vesicle Budding (REAC,p=3e-02)"
